review_datetime_utc,author_title,author_id,review_text,review_rating
04/13/2024 22:24:35,Matt Mccrum,103695489705227565879,Best trails in philly,5
04/12/2024 00:38:20,??,108101934735094350531,👍,5
04/10/2024 18:02:42,Pete Rhein,118156100062911374661,"The best wilderness inside Philadelphia. A few hundred feet from the entrance and the city will disappear. There will be other Philadelphians enjoying it, but if you try a little you can get lost and alone. (That's meant to be positive.) Please don't litter, and if ya see someone else's litter, try and carry it to the next rubbish can. It's our park. Want to help more? The Friends of Wissahickon do a great job planting and rebuilding and maintaining, all on their own time and dime!",5
04/08/2024 17:25:08,Liubomyr,102226921330036615545,Amazing for dog walking.,5
04/06/2024 21:20:53,D Hancock,106191637112702445838,"First: not an easy walk to say the least.

Rough stone and rock strewn paths, fallen trees across paths, up and down hills. But a great physical experience with eye catching beauty each step.

But, BUT be careful.",5
04/05/2024 15:05:34,Narangi Kholkhoeva,104572042562615811775,"Great place! However, beware of car break-ins. Unfortunately, you may end up with smashed windows. The police were rude and not helpful at all. Just writing/collecting reports for statistics. According to them this happens multiple times a day. BEWARE!!!",2
04/03/2024 17:44:19,Joanna Nunez,108278298063841140576,"This park is breathtaking. It has so much to see as you hike through. With 50 miles of trails you can always find a new path you haven't seen before. The waterfalls, bridges, old structures and statues are all worth seeing.",5
04/02/2024 01:25:41,Chuck Homler (NeedsMoreRitalin),110031397923291990058,"I love this park.  It's great for hiking, rock hounding and observing wildlife.  Great spot for Woodies.",5
03/29/2024 23:37:12,John Nguyễn,111310415853129713074,"Rất đẹp, sạch sẽ và bình yên",5
03/21/2024 16:58:20,Kamel Fennell,111716319731653814378,I really like going to this park; I've been going for years but now it seems crowded all the time.  I still like it but finding parking these days has become a challenge.,4
03/16/2024 04:59:45,Danny,103045830182133143968,good,4
03/08/2024 22:01:55,Dale Hoover,108720744516573471529,"Just a walk down Forbidden Drive to the Valley Green Inn and back (from Northwestern Ave). Just doesn't feel like you could even be near a city when you're in the gorge. Always a delight to be there - walking, running, hiking, or biking.",5
03/08/2024 19:24:55,Sarang Ananda Rao,107913967066273258309,Awesome trails!,5
03/06/2024 14:44:04,Courtnei Choyce,115988187763284351501,It was an beautiful but interesting trail nature walk,5
03/04/2024 16:53:34,Moura Brown,112967841687408640886,Muddy today. Bathrooms were locked. Can't wait for the weather to truly break. 🏃🏾‍♀️‍➡️🏃🏾‍♀️‍➡️🏃🏾‍♀️‍➡️,5
02/25/2024 03:05:02,Steven Murrow,109114135060754181908,"Wissahickon Valley Park in PA is a serene oasis with scenic trails along Wissahickon Creek. Nature lovers will appreciate its diverse landscapes and historic charm. Great for hiking, biking, and unwinding amid lush greenery. And if you have time, stop by the Valley Garden Inn for some delicious food and drinks!",5
02/25/2024 00:52:12,Kelsey Marbach,106203679903469218112,There are a lot of really great trails here. A great place to take your dog as well,5
02/24/2024 15:20:19,Stephen Gross,104054778833587020358,Undoubtedly one of the best urban parks in the country! It feels like you’re in the mountains and yet you’re just minutes from the train station. What a gem!,5
02/22/2024 04:01:23,Millard Reeves,114806221153145731366,It is a great place to visit and an even better place to live! A diverse and accepting community.,5
02/20/2024 20:08:43,Anna K.,103785513088177903224,"Beware, common place for robberies. Came back to my windows broken and my stuff gone.",1
02/20/2024 18:03:00,Miranda Burg,106871435478485371985,My car and other cars got broken into. Don’t leave anything in your car cause your windows will get smashed and your stuff will get stolen.,1
02/13/2024 18:46:35,Armeno P,113280106445944134252,"An absolute gem, one of the best parts of living in Philadelphia is having access to such amazing nature. Beautiful year round and full of biking and hiking trails.",5
02/09/2024 02:09:06,Bunyod Gozibekov,114619171940070336981,Incredible!,5
